the
”
and
to
a
harry
he
of
was
it
in
his
—
you
said
had
on
at
they
that
as
him
i
potter
but
stone
with
ron
all
out
up
for
be
k
page
philosophers
j
rowling
hagrid
them
were
have
what
there
hermione
back
one
from
this
not
if
she
about
into
their
me
know
been
so
off
didn’t
could
got
like
get
down
“i
her
when
who
over
looked
professor
see
just
very
is
then
no
do
by
snape
your
are
now
dumbledore
around
he’d
going
something
an
through
we
think
go
uncle
time
right
don’t
never
dudley
look
first
how
harry’s
here
looking
more
malfoy
before
only
it’s
eyes
door
or
would
couldn’t
vernon
even
two
too
again
head
neville
my
thought
next
yeh
mcgonagall
way
face
where
than
told
people
did
still
room
other
quirrell
though
will
last
which
because
its
boy
left
an’
come
gryffindor
us
“you
mr
behind
ter
some
house
turned
much
hogwarts
wasn’t
came
heard
i’m
can
three
once
seemed
say
toward
long
went
really
away
anything
good
little
great
well
want
suddenly
hand
tell
found
bit
made
school
after
trying
himself
aunt
tried
“what
any
wand
saw
“but
knew
dark
put
while
took
day
asked
old
voice
inside
petunia
let
quidditch
take
that’s
ever
cloak
open
black
can’t
yer
he’s
i’ve
must
few
“oh
find
hadn’t
dursley
things
might
seen
floor
pulled
wood
front
another
keep
large
feet
every
years
gone
make
“well
end
hall
felt
filch
started
“i’m
magic
thing
lot
everyone
mind
nothing
wouldn’t
almost
moment
air
enough
“and
slytherin
weasley
“it’s
mirror
letter
walked
fell
why
night
sat
course
table
bed
high
wanted
until
saying
points
past
owl
called
mrs
done
already
name
sure
later
you’re
quickly
books
read
second
“the
without
dursleys
should
our
wizard
“no
hat
stop
life
under
always
half
being
remember
across
caught
onto
try
new
better
full
reached
gave
stood
hair
same
these
yes
they’d
outside
fire
quite
kept
year
else
wall
anyone
whispered
stared
each
forest
side
ground
place
best
nearly
percy
doing
mean
white
’s
hands
madam
yet
they’re
man
top
broom
four
against
own
forward
“yes
getting
i’ll
coming
ask
whole
standing
train
fred
“so
small
window
hear
silver
along
“don’t
nose
has
happened
morning
both
o’
green
troll
suppose
corridor
hard
red
lost
peeves
we’re
five
everything
stopped
dragon
hundred
noticed
gold
“we
“
fer
ten
shouted
talking
trouble
father
team
help
there’s
taken
george
voldemort
need
someone
work
most
sir
mother
big
many
minutes
bad
“it
anyway
family
gringotts
broomstick
sort
weren’t
robes
cold
fluffy
able
holding
move
those
sitting
funny
you’ve
“harry
corner
snapped
straight
set
round
rest
students
give
heart
light
sight
feeling
“how
use
library
norbert
you’ll
world
famous
words
passed
week
sorry
match
does
except
we’ve
dead
i’d
christmas
giant
“that’s
won’t
“now
either
“he
castle
began
goyle
dudley’s
cat
empty
book
staring
somewhere
flamel
class
arms
blood
finally
catch
“all
note
nice
moved
owls
noise
hardly
between
rather
dog
reason
strange
granger
cupboard
legs
since
parents
answer
seven
believe
common
far
talk
asleep
exactly
watched
twins
pointed
muggle
letters
what’s
fat
such
isn’t
pale
haven’t
“if
dropped
quirrell’s
we’ll
street
stay
held
unicorn
knows
glass
mouth
muttered
feel
dear
fast
alone
horrible
forget
tonight
crabbe
slowly
managed
speak
“why
drive
cup
“hagrid
idea
gotten
bright
please
ceiling
different
followed
start
however
send
together
smiling
ronan
“i’ve
huge
gasped
kill
hut
opened
game
making
turn
arm
ran
wait
met
platform
waiting
“he’s
pleased
stupid
car
quaffle
muggles
ron’s
spoke
don’
safe
close
given
hope
flitwick
raised
thousand
perhaps
watch
run
third
word
allowed
cauldron
loudly
brought
snitch
pointing
ollivander
knocked
leg
home
died
leave
sound
watching
stepped
“a
heads
taking
woman
times
seamus
neck
telling
seat
wrong
snake
shook
usual
sleep
hagrid’s
arrived
“that
play
forgotten
won
“good
stand
sign
wearing
“this
“do
scar
call
understand
nine
lay
pain
“what’s
crowd
pocket
twelve
money
disappeared
threw
realized
field
oh
near
gryffindors
above
picked
used
sent
number
fang
walls
“we’ve
shop
firenze
wizards
ahead
chocolate
became
turning
teachers
terrible
seem
nimbus
you’d
important
pushed
meet
toad
pair
instead
privet
maybe
showed
supposed
thinking
bane
mad
friends
body
piers
doors
chamber
fact
ghost
trees
neville’s
flying
themselves
free
eleven
yelled
glasses
hufflepuff
afternoon
wide
today
stuff
others
angry
follow
learn
climbed
shoulder
potions
also
shut
fifty
“look
deep
low
tree
breath
twice
late
secret
sorcerer’s
break
running
flint
yourself
matter
hurt
invisibility
leapt
guarding
wondered
nervous
turban
hurried
seconds
tiny
point
portrait
worse
sudden
“you’re
fingers
nicolas
having
sister
soon
minute
evening
thick
grounds
birthday
“are
kitchen
london
nearer
lucky
liked
“come
playing
pink
killed
jumped
silence
swung
“yeah
wild
dumbledore’s
mail
bent
bet
walking
loud
spell
boys
“just
tea
questions
quietly
lamp
nasty
tail
scared
purple
odd
broken
seized
expect
carefully
middle
happy
apart
lose
quiet
ready
pomfrey
upstairs
somehow
ago
several
smile
hour
hit
gray
sky
true
paper
direction
six
pile
faces
practice
snape’s
charlie
’em
“go
shaking
cart
die
“there’s
eh
mom
slytherins
tower
brooms
screamed
worry
“see
ages
smiled
staircase
foot
dragons
bludgers
anythin’
hedwig
added
package
expelled
powerful
grabbed
malfoy’s
known
he’ll
case
walk
buy
says
leaned
path
line
beard
albus
leaving
hung
brothers
heavy
dare
tall
witch
appeared
finished
ears
lying
blue
knees
card
obviously
show
ball
scabbers
griphook
forehead
real
hanging
norris
classroom
sharp
“er
smell
crate
key
rock
hole
aren’t
seeker
ones
pull
possible
wondering
chess
easy
o’clock
wands
eye
she’d
dad
expected
flew
live
twenty
explain
furiously
inches
glad
clapped
station
usually
listen
living
leaves
nobody
“professor
magical
spotted
breakfast
rose
decided
changed
nervously
p
happen
interesting
rolled
burst
